Datetime,Tweet_Id,Content,Language,Username,User_id,User_location
2021-04-13 23:37:05+00:00,1382115656607338501,That Two Distant Strangers short movie was not a bad movie it was actually pretty creative y’all be wildin that’s why I don’t listen to y’all takes 😂 #TwoDistantStrangers #Netflix,en,SantanaRxcks,3312060560,NYG NYY NYK LAL SY CLEM
2021-04-12 22:58:32+00:00,1381743566335131648,"How to use a very good cast for a very, very bad movie. #BehindHerEyes one of the worst thing ever written. Go for a 6 hours walk in the park instead. #anythingelse #movie #netflix #justbad",en,bandinimusic,709446963264151552,"London, England"
2021-04-11 19:17:19+00:00,1381325508168716299,"#Roohi is such a bad movie on #Netflix. Such a waste of good talent like @RajkummarRao and @varunsharma90. You know the movie is plain horrible when you’re just waiting for it to get over. 
#JanhviKapoor is below average, blank facial expressions. 

#roohireview #Bollywood",en,JavKhal,745884222531973120,Pakistan
2021-04-11 12:21:34+00:00,1381220882551554049,Thunder Force on Netflix is a bad bad movie. 10 minutes in had to shut it off. #Thunderforce #Netflix https://t.co/pwnuKiz4U1,en,briancmorgan,31225923,San Antonio
2021-04-11 07:37:35+00:00,1381149412924256261,"#ThunderForce wasn’t a bad movie; I won’t be surprised, if there’s a “sequel” in the works ‼️❗️❣️

😯🤔😌😅👀🖥🦸🏻‍♂️🦸🏻‍♀️🦹🏻🦹🏻‍♂️👍🏻🇺🇸🇨🇦🌏🎬

Ratings: 8/10

#Netflix",en,hotrodzdan,325364265,Canada
2021-04-09 20:24:20+00:00,1380617596832264192,"Friday night film night.

My choice tonight. I went for #AmericanAssassin.

Not a bad movie, quite predictable but easy watching.

Can be watched on #Netflix @netflix",en,greatmovieshq,585827242,
2021-04-02 20:32:49+00:00,1378083018821275649,"Friday night film night.

#NightHunter on #Netflix @Netflix

Not a bad movie. Better than I was expecting.  I wouldn't rush to watch it again.",en,greatmovieshq,585827242,
2021-03-28 19:39:02+00:00,1376257542343565317,"So, did I watch this only because of a hint of f/f relationship in the trailer? Yes. Was it trash? Yes. Total lifetime movie type stuff. Omg 😆 What a crazy, bad, movie. How is this trending so high? 😂 #DeadlyIllusions #Netflix. At least I got a good laugh. Utter trash @netflix https://t.co/lX9n4rP86t",en,Love_lncredibIe,223540406,Buffalo
2021-03-24 17:16:13+00:00,1374772048640278532,"Tomorrow: take a break from #ShrimpGate to listen to our discussion of what #Netflix called ""the greatest bad movie of all time"" -- 1989's ROADHOUSE https://t.co/1vsL5jIk5g",en,AnnotatedThe,1336062510160621568,
2021-03-23 11:01:01+00:00,1374315239471255553,"If you thought #Carrie’s Margaret White was the ultimate bad movie mum, think again... https://t.co/RxAIsd3NXy #sarahpaulson @netflixuk #netflix #run",en,StylistMagazine,54203238,"London, UK"
